203794,0.020000,0.02734,-0.00269,1.01074,-0.152,-1.550,-0.123,-1.600,0.0014,0.0116
203814,0.020000,0.02905,-0.00195,1.01318,-0.110,-1.642,-0.119,-1.601,0.2075,0.0039
203834,0.020000,0.02441,0.00098,1.01563,0.055,-1.377,-0.114,-1.594,0.0853,0.0955
203854,0.020000,0.02710,0.00342,1.01660,0.193,-1.527,-0.105,-1.596,0.1464,-0.1716
203874,0.020000,0.02661,-0.00098,1.01587,-0.055,-1.501,-0.105,-1.596,-0.0521,-0.0953
203894,0.020000,0.02661,-0.00684,1.01318,-0.387,-1.504,-0.107,-1.596,0.1846,-0.0495
203914,0.020000,0.03125,-0.00488,1.01685,-0.275,-1.760,-0.110,-1.604,0.0166,-0.2785
203934,0.020000,0.02832,-0.00488,1.01440,-0.276,-1.599,-0.113,-1.607,-0.0215,-0.1411
203954,0.020000,0.03223,-0.00757,1.01001,-0.429,-1.827,-0.125,-1.608,-0.2658,0.1642
203974,0.020000,0.02905,-0.00537,1.01929,-0.302,-1.633,-0.133,-1.612,-0.2047,-0.1564
203994,0.020000,0.02930,-0.00366,1.02148,-0.205,-1.643,-0.138,-1.613,-0.1818,-0.0113
204014,0.020000,0.02637,0.00146,1.02344,0.082,-1.476,-0.132,-1.608,0.0701,0.1108
204034,0.020000,0.02466,0.00171,1.02002,0.096,-1.385,-0.126,-1.602,0.0701,0.0726
204054,0.020000,0.02319,-0.00171,1.02222,-0.096,-1.300,-0.121,-1.598,0.2304,-0.1258
204074,0.020000,0.02539,-0.00684,1.01489,-0.386,-1.433,-0.124,-1.595,0.1006,-0.0037
204094,0.020000,0.02979,-0.00854,1.01294,-0.483,-1.684,-0.130,-1.596,0.0472,0.0421
204114,0.020000,0.02612,-0.00903,1.01221,-0.511,-1.478,-0.131,-1.595,0.3754,-0.0571
204134,0.020000,0.02979,-0.00781,1.01416,-0.441,-1.682,-0.138,-1.597,-0.0826,-0.0419
204154,0.020000,0.03296,-0.00024,1.01270,-0.014,-1.864,-0.139,-1.601,-0.1513,0.1032
204174,0.020000,0.03247,0.00488,1.02075,0.274,-1.822,-0.132,-1.607,-0.0521,-0.1258
204194,0.020000,0.02881,-0.00098,1.01880,-0.055,-1.620,-0.133,-1.605,-0.1208,0.1490
204214,0.020000,0.02832,-0.00195,1.01318,-0.110,-1.601,-0.132,-1.610,-0.0063,-0.2709
204234,0.020000,0.02759,-0.00098,1.01855,-0.055,-1.551,-0.131,-1.609,-0.0215,-0.0266
204254,0.020000,0.02734,-0.00415,1.01294,-0.235,-1.546,-0.131,-1.608,0.1082,-0.0190
204274,0.020000,0.02563,-0.00586,1.01611,-0.330,-1.445,-0.137,-1.607,-0.1055,-0.0877
204294,0.020000,0.02393,-0.00171,1.01685,-0.096,-1.348,-0.137,-1.604,-0.0521,-0.1182
204314,0.020000,0.02393,-0.00244,1.01538,-0.138,-1.350,-0.141,-1.601,-0.1666,-0.1106
204334,0.020000,0.02954,-0.00269,1.01587,-0.151,-1.666,-0.143,-1.600,-0.1131,0.1032
204354,0.020000,0.03149,0.00171,1.01318,0.097,-1.780,-0.139,-1.600,-0.0215,0.2177
204374,0.020000,0.03198,0.00073,1.01196,0.041,-1.810,-0.134,-1.605,0.0472,-0.0419
204394,0.020000,0.03394,0.00098,1.01050,0.055,-1.923,-0.129,-1.607,0.0472,0.1871
204414,0.020000,0.02686,0.00000,1.01880,0.000,-1.510,-0.123,-1.606,0.2075,-0.0266
204434,0.020000,0.02783,-0.00220,1.01587,-0.124,-1.569,-0.124,-1.605,-0.0444,0.0268
204454,0.020000,0.02905,-0.00391,1.01538,-0.220,-1.639,-0.132,-1.607,-0.3040,-0.0800
204474,0.020000,0.02271,-0.00781,1.01050,-0.443,-1.287,-0.133,-1.603,0.2456,-0.1258
204494,0.020000,0.02490,-0.00342,1.01611,-0.193,-1.404,-0.138,-1.601,-0.1895,-0.0877
204514,0.020000,0.02563,-0.00195,1.01880,-0.110,-1.441,-0.140,-1.599,-0.1208,-0.0495
204534,0.020000,0.02832,0.00146,1.01660,0.083,-1.596,-0.137,-1.598,-0.0750,0.0497
204554,0.020000,0.02490,-0.00024,1.01709,-0.014,-1.403,-0.136,-1.592,-0.0979,0.0803
